Country,Quantity(MetricTonne),%_To_Total,Value(Lakhs),UnitValue(Rupees/Tonne)
ITALY,63605,19.48,91585,143991
GERMANY,34099,10.44,54755,160576
RUSSIAN FEDERATION,26862,8.23,44300,164919
BELGIUM,19941,6.11,33354,167267
POLAND,16503,5.05,23600,143008
TURKEY,10723,3.28,15701,146415
MALAYSIA,7735,2.37,10660,137816
JORDAN,7604,2.33,14891,195828
SPAIN,7155,2.19,10109,141288
U.S.A.,7037,2.15,12580,178771
UKRAINE,6947,2.13,9783,140818
KUWAIT,6675,2.04,15172,227279
AUSTRALIA,5985,1.83,10818,180754
GREECE,5607,1.72,8168,145687
SLOVENIA,5525,1.69,7917,143307
INDONESIA,5060,1.55,7204,142386
UK,4427,1.36,7941,179399
ISRAEL,4347,1.33,6353,146140
IRAN,4181,1.28,6573,157238
KOREA,4034,1.24,6119,151678
CROATIA,3869,1.18,4809,124302
LIBYA,3811,1.17,5599,146931
EGYPT,3477,1.06,5619,161597
SYRIA,3366,1.03,4717,140148
SWITZERLAND,3312,1.01,6212,187586
SAUDI ARABIA,3152,0.97,6698,212520
PORTUGAL,3006,0.92,3880,129075
VIETNAM,2915,0.89,3553,121910
UAE,2753,0.84,6324,229671
NETHERLANDS,2740,0.84,4899,178785
TAIWAN,2489,0.76,3411,137044
FRANCE,2307,0.71,3270,141757
ALBANIA,1832,0.56,2724,148687
MOROCCO,1791,0.55,2353,131383
BENIN,1757,0.54,3264,185809
MALI,1711,0.52,2757,161146
SINGAPORE,1705,0.52,3460,202911
BANGLADESH,1656,0.51,3229,195038
SENEGAL,1281,0.39,2651,206953
FINLAND,1248,0.38,2281,182755
NIGERIA,1185,0.36,2163,182574
CANADA,1175,0.36,1812,154113
LATVIA,971,0.3,1554,159999
BURKINA FASO,837,0.26,1812,216514
IRAQ,802,0.25,1766,220226
JAPAN,777,0.24,1748,225041
CHINA,770,0.24,1091,141597
NEPAL,763,0.23,2816,369314
TOGO,761,0.23,1325,174156
OMAN,725,0.22,1148,158204
