Country,Quantity(MetricTonne),%_To_Total,Value(Lakhs),UnitValue(Rupees/Tonne)
ITALY,76452,21.62,116795,152769
GERMANY,31818,9,51040,160411
RUSSIAN FEDERATION,22292,6.3,45262,203041
BELGIUM,18486,5.23,32573,176206
TURKEY,14742,4.17,23581,159953
POLAND,14056,3.98,22105,157262
LIBYA,10301,2.91,15318,148699
INDONESIA,10113,2.86,14820,146543
MALAYSIA,9201,2.6,12503,135886
JORDAN,9095,2.57,17325,190498
SPAIN,7663,2.17,10960,143026
U.S.A.,7353,2.08,13416,182449
UKRAINE,7327,2.07,11163,152360
SLOVENIA,6687,1.89,8323,124460
AUSTRALIA,6398,1.81,11202,175091
GREECE,6137,1.74,8435,137442
KUWAIT,5870,1.66,11297,192445
KOREA,4618,1.31,7133,154461
SYRIA,4482,1.27,6515,145351
ISRAEL,4356,1.23,6418,147347
SAUDI ARABIA,4293,1.21,8532,198735
UK,3849,1.09,7232,187916
IRAN,3830,1.08,5677,148207
CROATIA,3709,1.05,4681,126207
PORTUGAL,3533,1,4837,136925
VIETNAM,3449,0.98,4318,125184
FRANCE,3319,0.94,5006,150833
UAE,3142,0.89,6195,197187
EGYPT,3022,0.85,4400,145608
SWITZERLAND,2917,0.82,5542,189998
NETHERLANDS,2653,0.75,4637,174752
FINLAND,2357,0.67,4541,192694
TAIWAN,2320,0.66,3285,141600
SINGAPORE,1734,0.49,3591,207040
SENEGAL,1586,0.45,3128,197152
BENIN,1570,0.44,3227,205626
MOROCCO,1505,0.43,4826,320704
MONTENEGRO,1481,0.42,1826,123343
BANGLADESH,1465,0.41,2813,192027
CANADA,1405,0.4,2005,142751
ALBANIA,1348,0.38,2387,177082
MALI,1238,0.35,2471,199684
ROMANIA,1140,0.32,1591,139499
OMAN,1038,0.29,1625,156490
TOGO,995,0.28,2408,242061
